epo: 1, rat: 1.00e-02, err: 9.45e-01, obj: 4.95e+00, dat: 2.54e-01, fpp: 1.70e+00, bpp: 1.51e+00, upd: 3.93e-03, val_err:6.71e-01
epo: 3, rat: 1.00e-02, err: 6.56e-01, obj: 1.66e+00, dat: 1.37e-01, fpp: 1.62e+00, bpp: 1.35e+00, upd: 3.97e-03, val_err:6.44e-01
epo: 5, rat: 1.00e-02, err: 7.27e-01, obj: 1.47e+00, dat: 1.38e-01, fpp: 1.43e+00, bpp: 1.53e+00, upd: 4.01e-03, val_err:6.48e-01
epo: 7, rat: 1.00e-02, err: 6.56e-01, obj: 1.36e+00, dat: 1.24e-01, fpp: 1.64e+00, bpp: 1.52e+00, upd: 3.94e-03, val_err:6.94e-01
epo: 9, rat: 1.00e-02, err: 6.56e-01, obj: 1.26e+00, dat: 1.38e-01, fpp: 1.63e+00, bpp: 1.56e+00, upd: 3.97e-03, val_err:6.89e-01
epo: 11, rat: 1.00e-02, err: 6.88e-01, obj: 1.24e+00, dat: 1.32e-01, fpp: 1.62e+00, bpp: 1.36e+00, upd: 4.12e-03, val_err:6.46e-01
epo: 13, rat: 1.00e-02, err: 6.88e-01, obj: 1.21e+00, dat: 1.24e-01, fpp: 1.46e+00, bpp: 1.52e+00, upd: 4.06e-03, val_err:7.09e-01
epo: 15, rat: 1.00e-02, err: 6.48e-01, obj: 1.11e+00, dat: 1.38e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 3.99e-03, val_err:6.50e-01
epo: 17, rat: 1.00e-02, err: 6.41e-01, obj: 1.15e+00, dat: 1.37e-01, fpp: 1.62e+00, bpp: 1.35e+00, upd: 4.23e-03, val_err:7.10e-01
epo: 19, rat: 1.00e-02, err: 6.48e-01, obj: 1.12e+00, dat: 1.31e-01, fpp: 1.46e+00, bpp: 1.53e+00, upd: 4.01e-03, val_err:6.61e-01
epo: 21, rat: 1.00e-02, err: 6.56e-01, obj: 1.15e+00, dat: 1.35e-01, fpp: 1.64e+00, bpp: 1.51e+00, upd: 4.01e-03, val_err:6.42e-01
epo: 23, rat: 1.00e-02, err: 6.48e-01, obj: 1.16e+00, dat: 1.62e-01, fpp: 1.62e+00, bpp: 1.36e+00, upd: 3.97e-03, val_err:6.51e-01
epo: 25, rat: 1.00e-02, err: 6.41e-01, obj: 1.11e+00, dat: 1.37e-01, fpp: 1.45e+00, bpp: 1.53e+00, upd: 4.04e-03, val_err:6.69e-01
epo: 27, rat: 1.00e-02, err: 6.72e-01, obj: 1.13e+00, dat: 1.36e-01, fpp: 1.66e+00, bpp: 1.51e+00, upd: 3.93e-03, val_err:6.70e-01
epo: 29, rat: 1.00e-02, err: 6.64e-01, obj: 1.18e+00, dat: 1.35e-01, fpp: 1.65e+00, bpp: 1.50e+00, upd: 4.15e-03, val_err:6.86e-01
epo: 31, rat: 1.00e-02, err: 5.62e-01, obj: 1.04e+00, dat: 1.51e-01, fpp: 1.61e+00, bpp: 1.36e+00, upd: 3.98e-03, val_err:6.41e-01
epo: 33, rat: 1.00e-02, err: 5.78e-01, obj: 1.13e+00, dat: 1.35e-01, fpp: 1.47e+00, bpp: 1.52e+00, upd: 3.93e-03, val_err:6.88e-01
epo: 35, rat: 1.00e-02, err: 6.17e-01, obj: 1.15e+00, dat: 1.39e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 4.01e-03, val_err:6.67e-01
epo: 37, rat: 1.00e-02, err: 6.33e-01, obj: 1.13e+00, dat: 1.34e-01, fpp: 1.62e+00, bpp: 1.36e+00, upd: 4.09e-03, val_err:6.43e-01
epo: 39, rat: 1.00e-02, err: 5.86e-01, obj: 1.08e+00, dat: 1.29e-01, fpp: 1.46e+00, bpp: 1.52e+00, upd: 4.00e-03, val_err:6.27e-01
epo: 41, rat: 1.00e-02, err: 6.33e-01, obj: 1.14e+00, dat: 2.13e-01, fpp: 1.64e+00, bpp: 1.51e+00, upd: 4.01e-03, val_err:6.67e-01
epo: 43, rat: 1.00e-02, err: 6.33e-01, obj: 1.13e+00, dat: 1.40e-01, fpp: 1.62e+00, bpp: 1.35e+00, upd: 4.06e-03, val_err:6.73e-01
epo: 45, rat: 1.00e-02, err: 6.33e-01, obj: 1.12e+00, dat: 1.39e-01, fpp: 1.45e+00, bpp: 1.52e+00, upd: 4.07e-03, val_err:6.51e-01
