epo: 1, rat: 1.00e-02, err: 9.38e-01, obj: 2.85e+00, dat: 2.46e-02, fpp: 2.31e+00, bpp: 3.91e-01, upd: 9.15e-04
epo: 8, rat: 1.00e-02, err: 6.17e-01, obj: 1.44e+00, dat: 2.12e-02, fpp: 4.16e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 14, rat: 1.00e-02, err: 7.34e-01, obj: 1.28e+00, dat: 2.01e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.13e-04
epo: 20, rat: 1.00e-02, err: 6.02e-01, obj: 1.14e+00, dat: 1.58e-02, fpp: 4.16e-01, bpp: 3.69e-01, upd: 9.03e-04
epo: 26, rat: 1.00e-02, err: 6.72e-01, obj: 1.15e+00, dat: 1.85e-02, fpp: 4.16e-01, bpp: 3.68e-01, upd: 9.08e-04
epo: 32, rat: 1.00e-02, err: 6.41e-01, obj: 1.15e+00, dat: 1.80e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.09e-04
epo: 39, rat: 1.00e-02, err: 6.56e-01, obj: 1.13e+00, dat: 1.86e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.09e-04
epo: 45, rat: 1.00e-02, err: 6.72e-01, obj: 1.15e+00, dat: 1.94e-02, fpp: 4.17e-01, bpp: 3.67e-01, upd: 9.06e-04
epo: 51, rat: 1.00e-02, err: 6.56e-01, obj: 1.13e+00, dat: 1.61e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.06e-04
epo: 57, rat: 1.00e-02, err: 7.58e-01, obj: 1.13e+00, dat: 2.13e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.12e-04
epo: 63, rat: 1.00e-02, err: 6.72e-01, obj: 1.14e+00, dat: 1.79e-02, fpp: 4.16e-01, bpp: 3.68e-01, upd: 9.00e-04
epo: 70, rat: 1.00e-02, err: 6.64e-01, obj: 1.13e+00, dat: 1.79e-02, fpp: 4.17e-01, bpp: 3.67e-01, upd: 9.07e-04
epo: 76, rat: 1.00e-02, err: 7.11e-01, obj: 1.14e+00, dat: 1.81e-02, fpp: 4.17e-01, bpp: 3.67e-01, upd: 9.07e-04
epo: 82, rat: 1.00e-02, err: 7.11e-01, obj: 1.15e+00, dat: 1.80e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.00e-04
