epo: 1, rat: 1.00e-02, err: 9.77e-01, obj: 4.92e+00, dat: 2.21e-01, fpp: 4.60e+00, bpp: 2.85e+00, upd: 7.10e-03, val_err:7.72e-01
epo: 2, rat: 1.00e-02, err: 6.41e-01, obj: 2.02e+00, dat: 1.39e-01, fpp: 3.34e+00, bpp: 2.86e+00, upd: 7.47e-03, val_err:6.86e-01
epo: 3, rat: 1.00e-02, err: 6.56e-01, obj: 1.65e+00, dat: 1.37e-01, fpp: 3.15e+00, bpp: 3.04e+00, upd: 7.39e-03, val_err:6.70e-01
epo: 4, rat: 1.00e-02, err: 6.88e-01, obj: 1.43e+00, dat: 1.25e-01, fpp: 3.16e+00, bpp: 3.02e+00, upd: 7.39e-03, val_err:6.59e-01
epo: 5, rat: 1.00e-02, err: 5.94e-01, obj: 1.36e+00, dat: -2.43e-02, fpp: 3.30e+00, bpp: 2.85e+00, upd: 7.54e-03, val_err:6.91e-01
epo: 6, rat: 1.00e-02, err: 6.64e-01, obj: 1.61e+00, dat: 1.37e-01, fpp: 3.27e+00, bpp: 2.87e+00, upd: 7.36e-03, val_err:6.36e-01
epo: 7, rat: 1.00e-02, err: 7.27e-01, obj: 1.41e+00, dat: 1.33e-01, fpp: 3.06e+00, bpp: 3.04e+00, upd: 7.47e-03, val_err:6.74e-01
epo: 8, rat: 1.00e-02, err: 6.95e-01, obj: 1.28e+00, dat: 1.26e-01, fpp: 3.04e+00, bpp: 3.03e+00, upd: 7.35e-03, val_err:6.72e-01
epo: 9, rat: 1.00e-02, err: 7.11e-01, obj: 1.36e+00, dat: 1.37e-01, fpp: 3.04e+00, bpp: 2.86e+00, upd: 7.22e-03, val_err:6.55e-01
epo: 10, rat: 1.00e-02, err: 6.33e-01, obj: 1.21e+00, dat: -2.72e-02, fpp: 3.21e+00, bpp: 2.86e+00, upd: 7.48e-03, val_err:6.60e-01
epo: 11, rat: 1.00e-02, err: 6.48e-01, obj: 1.22e+00, dat: 1.35e-01, fpp: 3.21e+00, bpp: 2.87e+00, upd: 7.58e-03, val_err:6.99e-01
epo: 12, rat: 1.00e-02, err: 6.17e-01, obj: 1.23e+00, dat: 1.28e-01, fpp: 3.21e+00, bpp: 2.87e+00, upd: 7.48e-03, val_err:7.18e-01
epo: 13, rat: 1.00e-02, err: 6.56e-01, obj: 1.25e+00, dat: 1.38e-01, fpp: 3.02e+00, bpp: 3.04e+00, upd: 7.23e-03, val_err:6.45e-01
epo: 14, rat: 1.00e-02, err: 6.17e-01, obj: 1.17e+00, dat: 1.37e-01, fpp: 3.04e+00, bpp: 3.03e+00, upd: 7.31e-03, val_err:6.43e-01
